baseline,S1,S2,S12,S15,S14
809317.3703448947,1099812.91881976,1137323.3048164889,1159402.7226754148,1159878.2765697655,1174772.4897275085
648630.6509605366,1031592.3671540933,1069622.8036723211,1085293.3970833104,1084714.0956626835,1095453.291391045
813869.3803544188,1158731.464469209,1186615.0192795403,1202421.6386487281,1204746.4638032103,1207704.2805517628
906710.5513880275,1171048.3138051194,1225784.691871902,1240746.5855126209,1241291.3153709173,1252487.4740866893
1066932.0828069658,1339658.3058789703,1388376.2890564175,1391534.6010346224,1387766.1517037065,1401512.7787558865
1127192.1650887437,1358672.5818816633,1418116.7666360852,1424960.8960608176,1425524.5017668516,1434496.7492574316
1052946.7151820324,1296223.2774697552,1357821.7811135345,1364837.2889331214,1369484.3444901041,1375230.515251645
978499.3891122409,1222721.145805441,1272134.5051189302,1275685.5287191386,1276748.3087055502,1285646.9651280395
587749.1953552786,964595.0121939112,975090.5940587189,996893.2266192791,994933.8843409216,1002568.3439792771
1156717.3825152984,1412352.4695304635,1445370.392648432,1454946.7004888996,1460216.8982007953,1465938.747153022
