baseline,S1,S2,S12,S15,S14
652657.3559165987,987166.6141424403,1027503.0590005132,1052954.6738724026,1052096.2595694982,1061125.6627969446
769378.2015058649,1131668.2850873806,1149924.3064014157,1167793.021594149,1172583.598889156,1181156.9925461775
866305.9725150124,1161806.540378265,1220786.3170042406,1234668.9496032633,1242099.418128712,1247470.7587624528
902040.035303233,1187826.7777025134,1240528.9611353688,1259122.0353048076,1259771.7647136701,1271453.7695779651
794680.0963309773,1163844.5364973976,1188968.2590417594,1210549.3816287334,1210461.9068285224,1221371.0560463297
973456.3423615005,1234550.8393580497,1284837.6792567545,1295883.9284836603,1304524.896950184,1308914.4380965643
833667.9565671058,1171662.5812508385,1211553.3883758488,1224907.8450010377,1225262.793369917,1237443.5078089663
934219.1148852856,1171529.850864827,1220920.3096638161,1245660.5678710511,1244120.563044297,1245950.261052483
811371.4606245253,1145671.1377099718,1188128.1779518812,1196648.45670956,1197168.2629927543,1210563.219568902
929220.9989524515,1236195.2380977701,1277463.675040029,1300152.0551853871,1295729.0441123378,1300796.5859675664
